Crucial Ballistix DDR4 2x8Gb BL2K8G32C16U4B; Объем:16 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-18-18-36, 1.35 В;9 375;Оперативная память
Kingston Fury Beast DDR4 2x8Gb KF432C16BBK2/16; Объем:16 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-18-18, 1.35 В;6 599;Оперативная память
Crucial Ballistix DDR4 2x16Gb BL2K16G32C16U4B; Объем:32 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-18-18-36, 1.35 В;13 062;Оперативная память
Crucial Ballistix DDR4 2x8Gb BL2K8G30C15U4B; Объем:16 ГБ/Тип:DDR4/Частота:3000 МГц/Схема таймингов:15-16-16-35, 1.35 В;6 050;Оперативная память
Crucial Ballistix RGB DDR4 2x8Gb BL2K8G32C16U4BL; Объем:16 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-18-18-36, 1.35 В;7 763;Оперативная память
Kingston Fury Beast DDR4 2x16Gb KF432C16BB1K2/32; Объем:32 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-18-18, 1.35 В;14 030;Оперативная память
Kingston Fury Beast DDR5 1x16Gb KF552C40BB-16; Объем:16 ГБ/Тип:DDR5/Частота:5200 МГц/Схема таймингов:40-40-40, 1.25 В;17 613;Оперативная память
Kingston Fury Beast DDR5 2x16Gb KF552C40BBK2-32; Объем:32 ГБ/Тип:DDR5/Частота:5200 МГц/Схема таймингов:40-40-40, 1.25 В;29 270;Оперативная память
Crucial DDR4 SO-DIMM 1x8Gb CT8G4SFRA32A; Объем:8 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:22-22-22, 1.2 В;2 840;Оперативная память
Corsair Vengeance LPX DDR4 2x8Gb CMK16GX4M2B3200C16; Объем:16 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-18-18-36, 1.35 В;11 155;Оперативная память
Patriot Memory Signature DDR5 1x8Gb PSD58G480041; Объем:8 ГБ/Тип:DDR5/Частота:4800 МГц/Схема таймингов:40-40-40-77, 1.1 В;8 500;Оперативная память
AMD R7 Performance DDR4 1x8Gb R748G2606U2S; Объем:8 ГБ/Тип:DDR4/Частота:2666 МГц/Схема таймингов:16-18-18-35, 1.2 В;2 231;Оперативная память
Patriot Memory Viper 4 DDR4 2x8Gb PV416G320C6K; Объем:16 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-18-18-36, 1.35 В;6 130;Оперативная память
Patriot Memory Viper Steel DDR4 2x8Gb PVS416G320C6K; Объем:16 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-18-18-36, 1.35 В;6 200;Оперативная память
Kingston Fury Beast DDR4 2x8Gb KF436C17BBK2/16; Объем:16 ГБ/Тип:DDR4/Частота:3600 МГц/Схема таймингов:17-21-21, 1.35 В;10 075;Оперативная память
Corsair Vengeance LPX DDR4 2x8Gb CMK16GX4M2Z2666C16; Объем:16 ГБ/Тип:DDR4/Частота:2666 МГц/Схема таймингов:16-18-18-35, 1.2 В;5 760;Оперативная память
Kingston KVR ValueRAM SO-DIMM DDR4 1x8Gb KVR32S22S8/8; Объем:8 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:22-22-22, 1.2 В;2 700;Оперативная память
Kingston Fury Beast DDR4 2x8Gb KF426C16BBK2/16; Объем:16 ГБ/Тип:DDR4/Частота:2666 МГц/Схема таймингов:16-18-18, 1.2 В;6 390;Оперативная память
Crucial Ballistix DDR4 2x8Gb BL2K8G26C16U4B; Объем:16 ГБ/Тип:DDR4/Частота:2666 МГц/Схема таймингов:16-18-18-38, 1.35 В;9 080;Оперативная память
Patriot Memory Viper 3 DDR3 2x8Gb PV316G186C0K; Объем:16 ГБ/Тип:DDR3/Частота:1866 МГц/Схема таймингов:10-11-10-30, 1.5 В;5 720;Оперативная память
A-Data XPG Gammix D10 DDR4 2x8Gb AX4U320038G16A-DB10; Объем:16 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-20-20-42, 1.35 В;6 139;Оперативная память
AMD R7 Performance DDR4 1x8Gb R748G2400U2S; Объем:8 ГБ/Тип:DDR4/Частота:2400 МГц/Схема таймингов:16-16-16-36, 1.2 В;2 247;Оперативная память
Kingston Fury Beast RGB DDR4 2x16Gb KF432C16BB1AK2/32; Объем:32 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:16-18-18, 1.35 В;12 129;Оперативная память
Hynix HMA SO-DIMM DDR4 1x8Gb HMA81GS6DJR8N-XN; Объем:8 ГБ/Тип:DDR4/Частота:3200 МГц/Схема таймингов:22-22-22, 1.2 В;3 200;Оперативная память
