Intel Core i5 Rocket Lake i5-11600KF OEM;Socket:Intel LGA 1200/TDP:125 Вт;18 820;Процессор
Intel Core i5 Comet Lake i5-10600 OEM;Socket:Intel LGA 1200/TDP:65 Вт;18 320;Процессор
Intel Core i3 Comet Lake i3-10100 BOX;Socket:Intel LGA 1200/TDP:65 Вт;9 020;Процессор
Intel Core i7 Alder Lake i7-12700K BOX;Socket:Intel LGA 1700/TDP:125 Вт;37 516;Процессор
Intel Core i5 Alder Lake i5-12600 OEM;Socket:Intel LGA 1700/TDP:65 Вт;20 248;Процессор
Intel Core i7 Rocket Lake i7-11700K OEM;Socket:Intel LGA 1200/TDP:125 Вт;28 425;Процессор
Intel Core i9 Alder Lake i9-12900K OEM;Socket:Intel LGA 1700/TDP:125 Вт;51 983;Процессор
Intel Core i3 Comet Lake Refresh i3-10105 OEM;Socket:Intel LGA 1200/TDP:65 Вт;9 549;Процессор
Intel Core i7 Comet Lake i7-10700KF BOX;Socket:Intel LGA 1200/TDP:125 Вт;26 890;Процессор
Intel Core i5 Coffee Lake Refresh i5-9600K OEM;Socket:Intel LGA 1151 v2/TDP:95 Вт;15 650;Процессор
Intel Core i7 Ivy Bridge i7-3770;Socket:Intel LGA 1155/TDP:77 Вт;14 900;Процессор
Intel Core i3 Kaby Lake i3-7100 OEM;Socket:Intel LGA 1151/TDP:51 Вт;5 600;Процессор
Intel Core i9 Comet Lake i9-10900KF OEM;Socket:Intel LGA 1200/TDP:125 Вт;36 580;Процессор
Intel Core i3 Coffee Lake Refresh i3-9100F BOX;Socket:Intel LGA 1151 v2/TDP:65 Вт;8 990;Процессор
Intel Xeon E5 v3 E5-2630 v3;Socket:Intel LGA 2011 v3/TDP:85 Вт;24 504;Процессор
Intel Core i7 Kaby Lake i7-7700 OEM;Socket:Intel LGA 1151/TDP:65 Вт;31 380;Процессор
Intel Core i5 Ivy Bridge i5-3330;Socket:Intel LGA 1155/TDP:77 Вт;2 900;Процессор
Intel Core i3 Alder Lake i3-12100 BOX;Socket:Intel LGA 1700/TDP:60 Вт;14 180;Процессор
Intel Core i7 Coffee Lake i7-8700 OEM;Socket:Intel LGA 1151 v2/TDP:65 Вт;25 399;Процессор
Intel Core i9 Rocket Lake i9-11900K BOX;Socket:Intel LGA 1200/TDP:125 Вт;39 660;Процессор
Intel Core i7 Coffee Lake Refresh i7-9700F OEM;Socket:Intel LGA 1151 v2/TDP:65 Вт;21 718;Процессор
Intel Xeon E5 v2 E5-2640 v2;Socket:Intel LGA 2011/TDP:95 Вт;9 999;Процессор
Intel Pentium Kaby Lake G4560 OEM;Socket:Intel LGA 1151/TDP:54 Вт;6 498;Процессор
Intel Core i7 Skylake i7-6700K OEM;Socket:Intel LGA 1151/TDP:91 Вт;29 441;Процессор
